,threshold,portion,weight,avg_prec,roc_auc,F1 (0.5),prec_rec_auc,ext_avg_prc,ext_roc_auc,ext_F1 (0.5),ext_prec_rec_auc
0,5.3,5.972725557512604e-05,16742.774975524895,0.0005132018647400329,0.9383693278010867,0.0,0.00048331855563272884,0.032877781803276496,0.9176122170125651,0.0,0.033322349527308136
1,5.4,4.948143396177329e-05,20209.60024668134,0.00047622419057924414,0.9361818164773112,0.0,0.00044430134651626195,0.03037577585375213,0.9161382915241815,0.0,0.03078685392652541
2,5.5,4.1668990888865665e-05,23998.66132268658,0.0003970859749004771,0.9395394684718412,0.0,0.0003629773758473869,0.02043914130756883,0.9105030369525801,0.0,0.02074943159331656
3,5.6,3.410255885683e-05,29323.312781255467,0.0002818765680978949,0.9369255037559617,0.0,0.0002447236964961759,0.018096953915042537,0.9131314323935215,0.0,0.018359019619063235
4,5.7,2.8006874345010146e-05,35705.51956927551,0.0002273996947688883,0.9296497418501309,0.0,0.0001863140711500287,0.014159045173362979,0.902916396635108,0.0,0.014386938054553053
5,5.8,2.3229669750435278e-05,43048.39503718136,0.00023566324665393965,0.944433378673715,0.0,0.00018662045211439036,0.01302834458107764,0.930512579479002,0.0,0.013189144476354943
6,5.9,1.798416633391753e-05,55604.46792098635,0.00024898202401058754,0.9452437893088451,0.0,0.0001869376837151698,0.009682518616462722,0.9250020537037587,0.0,0.009822062968782824
7,6.0,1.4331079910334665e-05,69778.41211246498,0.00021902767883721208,0.9561941463237896,0.0,0.00014703749121019143,0.0071595231646234955,0.937934341962052,0.0,0.007185732500059237
8,6.1,1.086535667127464e-05,92035.63493168676,0.0002615761910719883,0.9593039544849127,0.0,0.00016821229459090342,0.006813312273154756,0.9472621625351785,0.0,0.0068083276832203886
9,6.2,8.898335181584116e-06,112380.57227486638,0.0002615761910719883,0.9593039544849127,0.0,0.00016821229459090342,0.006813312273154756,0.9472621625351785,0.0,0.0068083276832203886
