,threshold,portion,weight,avg_prec,roc_auc,F1 (0.5),prec_rec_auc,ext_avg_prc,ext_roc_auc,ext_F1 (0.5),ext_prec_rec_auc
0,5.3,5.972725557512604e-05,16742.774975524895,0.0008305974785352801,0.8552393663048061,0.0006991844500198732,0.0008284222797074734,0.047940020419453055,0.8618995334761799,0.049062413619885524,0.04804124984854927
1,5.4,4.948143396177329e-05,20209.60024668134,0.000575604961520875,0.8937919587344955,0.00030236581383550416,0.0005732099578810394,0.033554358588161776,0.8903041040371187,0.022818168491558696,0.033603607512073766
2,5.5,4.1668990888865665e-05,23998.66132268658,0.00042011448755399693,0.9129422652800101,0.00022871092056153962,0.00041924216001374245,0.027721730657598996,0.9138217292072396,0.017917564769479234,0.02781473965279684
3,5.6,3.410255885683e-05,29323.312781255467,0.00026673683225317946,0.9094894059023624,0.00016870667170694947,0.00026463513578985954,0.024417136124798226,0.9131251765412302,0.01484304942032015,0.024421653954589312
4,5.7,2.8006874345010146e-05,35705.51956927551,0.0002423918738224165,0.8564059795432322,0.0001312304665045788,0.00024181550719599325,0.019642494930206863,0.8616362052599909,0.01225468207662576,0.01975631356469745
5,5.8,2.3229669750435278e-05,43048.39503718136,0.00019018497626292465,0.799657630997958,0.00012012309398873436,0.00018687426395093813,0.014567281496141664,0.8333501616693405,0.011844419010569835,0.014584087323039683
6,5.9,1.798416633391753e-05,55604.46792098635,0.0001803465214882186,0.8746286346142662,9.00660037011954e-05,0.00017667000160183938,0.011012790488695046,0.8627147598646252,0.008030152683434483,0.011017977164357894
7,6.0,1.4331079910334665e-05,69778.41211246498,6.800121260228636e-05,0.8836271188348115,7.59495044876762e-05,6.485773365739133e-05,0.004432452919095992,0.8721383752477962,0.006478475216898416,0.004434548248969178
8,6.1,1.086535667127464e-05,92035.63493168676,1.8338583221168266e-05,0.5735703305829668,4.4445231827315624e-05,1.8139959092725256e-05,0.0018786819069027828,0.6351374388089817,0.004489669497329931,0.0018789247786472883
9,6.2,8.898335181584116e-06,112380.57227486638,1.7069837968531684e-05,0.752552639851659,3.8169556353920805e-05,1.6648164450949088e-05,0.0013594729959165487,0.7527658914186263,0.0035593484436384406,0.0013723748251672776
